sitrep_no,indicator_code,domain,value,extraction_rule
1,case_fatality_ratio,deaths,50,computed_from_INRB
1,cumulative_confirmed_cases,reference,8,INRB_reference
1,cumulative_deaths,reference,4,INRB_reference
1,suspected_cases_investigation,reference,246,INRB_reference
2,case_fatality_ratio,deaths,30.8,computed_from_INRB
2,cumulative_confirmed_cases,reference,13,INRB_reference
2,cumulative_deaths,reference,4,INRB_reference
2,suspected_cases_investigation,reference,246,INRB_reference
4,alerts_validated,surveillance,16,tbl_valid
4,case_fatality_ratio,deaths,12.1,computed_from_INRB
4,cases_nordkivu,cases,3,narr_nk
4,cumulative_confirmed_cases,reference,33,INRB_reference
4,cumulative_deaths,reference,4,INRB_reference
4,new_confirmed_cases,cases,20,narr_nouveaux
4,samples_received,laboratory,27,lab_recus
4,suspected_cases_investigation,reference,516,INRB_reference
5,case_fatality_ratio,deaths,7.8,computed_from_INRB
5,cases_nordkivu,cases,2,narr_nk
5,cumulative_confirmed_cases,reference,51,INRB_reference
5,cumulative_deaths,reference,4,INRB_reference
5,new_confirmed_cases,cases,16,narr_nouveaux
5,samples_analyzed,laboratory,31,lab_analyses_jour
5,samples_received,laboratory,46,lab_recus
5,suspected_cases_investigation,reference,575,INRB_reference
6,alerts_validated,surveillance,8,tbl_valid
6,case_fatality_ratio,deaths,9.4,computed_from_INRB
6,cases_nordkivu,cases,2,narr_nk
6,cumulative_confirmed_cases,reference,64,INRB_reference
6,cumulative_deaths,reference,6,INRB_reference
6,recovered,cases,0,box_value_row
6,samples_received,laboratory,92,lab_recus
6,suspected_cases_investigation,reference,671,INRB_reference
7,case_fatality_ratio,deaths,10.8,computed_from_INRB
7,cumulative_confirmed_cases,reference,83,INRB_reference
7,cumulative_deaths,reference,9,INRB_reference
7,suspected_cases_investigation,reference,746,INRB_reference
8,case_fatality_ratio,deaths,11,computed_from_INRB
8,cumulative_confirmed_cases,reference,91,INRB_reference
8,cumulative_deaths,reference,10,INRB_reference
8,suspected_cases_investigation,reference,867,INRB_reference
9,case_fatality_ratio,deaths,9.9,computed_from_INRB
9,cumulative_confirmed_cases,reference,101,INRB_reference
9,cumulative_deaths,reference,10,INRB_reference
9,suspected_cases_investigation,reference,904,INRB_reference
10,case_fatality_ratio,deaths,9.5,computed_from_INRB
10,cumulative_confirmed_cases,reference,105,INRB_reference
10,cumulative_deaths,reference,10,INRB_reference
10,suspected_cases_investigation,reference,906,INRB_reference
11,case_fatality_ratio,deaths,11.3,computed_from_INRB
11,cumulative_confirmed_cases,reference,106,INRB_reference
11,cumulative_deaths,reference,12,INRB_reference
11,suspected_cases_investigation,reference,998,INRB_reference
12,case_fatality_ratio,deaths,14,computed_from_INRB
12,cumulative_confirmed_cases,reference,121,INRB_reference
12,cumulative_deaths,reference,17,INRB_reference
12,suspected_cases_investigation,reference,1077,INRB_reference
13,alerts_reported,surveillance,0,tbl_alertes
13,case_fatality_ratio,deaths,13.6,computed_from_INRB
13,cases_ituri,cases,110,narr_ituri
13,cases_nordkivu,cases,14,narr_nk
13,cases_sudkivu,cases,1,narr_sk
13,contacts_listed,contacts,530,box_h_contacts
13,cumulative_confirmed_cases,reference,125,INRB_reference
13,cumulative_deaths,reference,17,INRB_reference
13,recovered,cases,223,box_value_row
13,samples_analyzed,laboratory,3,tbl_lab_anal
13,samples_positive,laboratory,24,narr_pos
13,samples_received,laboratory,73,lab_recus
13,suspected_cases_investigation,reference,906,INRB_reference
13,travellers_total,poe,14662,tbl_poe_total
14,case_fatality_ratio,deaths,8.1,computed_from_INRB
14,cumulative_confirmed_cases,reference,210,INRB_reference
14,cumulative_deaths,reference,17,INRB_reference
14,suspected_cases_investigation,reference,349,INRB_reference
15,alerts_investigated,surveillance,85,narr_invest
15,alerts_reported,surveillance,0,tbl_alertes
15,case_fatality_ratio,deaths,16,computed_from_INRB
15,cases_ituri,cases,245,narr_ituri
15,cases_nordkivu,cases,15,narr_nk
15,cases_sudkivu,cases,3,narr_sk
15,cumulative_confirmed_cases,reference,263,INRB_reference
15,cumulative_deaths,reference,42,INRB_reference
15,hz_affected_ituri,geography,14,narr_zs_ituri
15,hz_affected_national,geography,22,narr_zs_nat
15,recovered,cases,0,box_value_row
15,samples_analyzed,laboratory,70,tbl_lab_anal
15,samples_received,laboratory,70,lab_recus
15,suspected_cases_investigation,reference,349,INRB_reference
15,travellers_total,poe,18239,tbl_poe_total
16,alerts_investigated,surveillance,84,narr_invest
16,alerts_reported,surveillance,0,tbl_alertes
16,case_fatality_ratio,deaths,14.9,computed_from_INRB
16,cases_ituri,cases,264,narr_ituri
16,cases_nordkivu,cases,15,narr_nk
16,cases_sudkivu,cases,3,narr_sk
16,cumulative_confirmed_cases,reference,282,INRB_reference
16,cumulative_deaths,reference,42,INRB_reference
16,hz_affected_ituri,geography,14,narr_zs_ituri
16,hz_affected_national,geography,22,narr_zs_nat
16,new_confirmed_cases,cases,19,narr_nouveaux
16,recovered,cases,42,box_value_row
16,samples_collected,laboratory,52,narr_echant
16,samples_positive,laboratory,19,narr_pos
16,suspected_cases_investigation,reference,321,INRB_reference
16,travellers_total,poe,13960,tbl_poe_total
17,alerts_investigated,surveillance,170,tbl_invest
17,alerts_investigation_rate,surveillance,88.5,tbl_invest_rate
17,alerts_reported,surveillance,192,tbl_alertes
17,alerts_validated,surveillance,117,tbl_valid
17,case_fatality_ratio,deaths,15,computed_from_INRB
17,cases_ituri,cases,299,table_ituri
17,cases_nordkivu,cases,19,table_nk
17,cases_sudkivu,cases,3,table_sk
17,cumulative_confirmed_cases,reference,321,INRB_reference
17,cumulative_deaths,reference,48,INRB_reference
17,deaths_ituri,deaths,46,table_ituri
17,deaths_nordkivu,deaths,1,table_nk
17,deaths_sudkivu,deaths,1,table_sk
17,hz_affected_national,geography,23,table_total_row
17,lab_positivity_rate,laboratory,66.6,tbl_lab_posrate
17,patients_in_isolation,care,129,tbl_isolation
17,recovered,cases,48,box_value_row
17,recovered_today,care,4,tbl_recovered_today
17,samples_analyzed,laboratory,18,tbl_lab_anal
17,samples_collected,laboratory,65,tbl_lab_coll
17,samples_positive,laboratory,12,tbl_lab_pos
17,suspected_cases_investigation,reference,220,INRB_reference
17,travellers_total,poe,14057,tbl_poe_total
18,alerts_reported,surveillance,137,tbl_alertes
18,alerts_validated,surveillance,85,tbl_valid
18,case_fatality_ratio,deaths,17.4,computed_from_INRB
18,cases_ituri,cases,322,table_ituri
18,cases_nordkivu,cases,3,narr_nk
18,cases_sudkivu,cases,3,table_sk
18,cumulative_confirmed_cases,reference,344,INRB_reference
18,cumulative_deaths,reference,60,INRB_reference
18,deaths_ituri,deaths,46,table_ituri
18,deaths_sudkivu,deaths,1,table_sk
18,hz_affected_national,geography,24,table_total_row
18,lab_positivity_rate,laboratory,30.3,tbl_lab_posrate
18,recovered,cases,60,box_value_row
18,samples_analyzed,laboratory,76,tbl_lab_anal
18,samples_collected,laboratory,76,tbl_lab_coll
18,samples_positive,laboratory,23,tbl_lab_pos
18,suspected_cases_investigation,reference,289,INRB_reference
19,alerts_reported,surveillance,158,tbl_alertes
19,alerts_validated,surveillance,122,tbl_valid
19,case_fatality_ratio,deaths,17.1,computed_from_INRB
19,cases_ituri,cases,341,table_ituri
19,cases_nordkivu,cases,19,table_nk
19,cases_sudkivu,cases,3,table_sk
19,cumulative_confirmed_cases,reference,363,INRB_reference
19,cumulative_deaths,reference,62,INRB_reference
19,deaths_ituri,deaths,48,table_ituri
19,deaths_nordkivu,deaths,13,table_nk
19,deaths_sudkivu,deaths,1,table_sk
19,recovered,cases,62,box_value_row
19,suspected_cases_investigation,reference,206,INRB_reference
20,alerts_reported,surveillance,166,tbl_alertes
20,alerts_validated,surveillance,141,tbl_valid
20,case_fatality_ratio,deaths,16.8,computed_from_INRB
20,cases_ituri,cases,359,table_ituri
20,cases_nordkivu,cases,19,table_nk
20,cases_sudkivu,cases,3,table_sk
20,cumulative_confirmed_cases,reference,381,INRB_reference
20,cumulative_deaths,reference,64,INRB_reference
20,deaths_ituri,deaths,50,table_ituri
20,deaths_nordkivu,deaths,13,table_nk
20,deaths_sudkivu,deaths,1,table_sk
20,new_confirmed_cases,cases,18,narr_nouveaux
20,recovered,cases,64,box_value_row
21,alerts_reported,surveillance,146,tbl_alertes
21,alerts_validated,surveillance,104,tbl_valid
21,case_fatality_ratio,deaths,18.1,computed_from_INRB
21,cases_ituri,cases,424,table_ituri
21,cases_nordkivu,cases,25,table_nk
21,cases_sudkivu,cases,3,table_sk
21,cumulative_confirmed_cases,reference,452,INRB_reference
21,cumulative_deaths,reference,82,INRB_reference
21,deaths_ituri,deaths,66,table_ituri
21,deaths_nordkivu,deaths,15,table_nk
21,deaths_sudkivu,deaths,1,table_sk
21,hz_affected_national,geography,25,table_total_row
21,recovered,cases,82,box_value_row
21,samples_positive,laboratory,6,narr_pos
21,suspected_cases_investigation,reference,153,INRB_reference
22,alerts_reported,surveillance,97,tbl_alertes
22,alerts_validated,surveillance,72,tbl_valid
22,case_fatality_ratio,deaths,17.6,computed_from_INRB
22,cases_ituri,cases,460,table_ituri
22,cases_nordkivu,cases,25,table_nk
22,cases_sudkivu,cases,3,table_sk
22,cumulative_confirmed_cases,reference,488,INRB_reference
22,cumulative_deaths,reference,86,INRB_reference
22,deaths_ituri,deaths,70,table_ituri
22,deaths_nordkivu,deaths,15,table_nk
22,deaths_sudkivu,deaths,1,table_sk
22,hz_affected_national,geography,25,table_total_row
22,recovered,cases,12,box_value_row
22,suspected_cases_investigation,reference,119,INRB_reference
23,alerts_reported,surveillance,134,tbl_alertes
23,alerts_validated,surveillance,86,tbl_valid
23,case_fatality_ratio,deaths,17.7,computed_from_INRB
23,cases_ituri,cases,487,table_ituri
23,cases_nordkivu,cases,25,table_nk
23,cases_sudkivu,cases,3,table_sk
23,cumulative_confirmed_cases,reference,515,INRB_reference
23,cumulative_deaths,reference,91,INRB_reference
23,deaths_ituri,deaths,74,table_ituri
23,deaths_nordkivu,deaths,16,table_nk
23,deaths_sudkivu,deaths,1,table_sk
23,hz_affected_national,geography,25,table_total_row
23,recovered,cases,91,box_value_row
23,suspected_cases_investigation,reference,117,INRB_reference
24,alerts_reported,surveillance,153,tbl_alertes
24,alerts_validated,surveillance,3,tbl_valid
24,case_fatality_ratio,deaths,18.4,computed_from_INRB
24,cases_ituri,cases,518,table_ituri
24,cases_nordkivu,cases,29,table_nk
24,cases_sudkivu,cases,3,table_sk
24,cumulative_confirmed_cases,reference,550,INRB_reference
24,cumulative_deaths,reference,101,INRB_reference
24,deaths_ituri,deaths,80,table_ituri
24,deaths_nordkivu,deaths,20,table_nk
24,deaths_sudkivu,deaths,1,table_sk
24,hz_affected_national,geography,25,table_total_row
24,recovered,cases,101,box_value_row
24,suspected_cases_investigation,reference,94,INRB_reference
25,alerts_reported,surveillance,140,tbl_alertes
25,alerts_validated,surveillance,5,tbl_valid
25,case_fatality_ratio,deaths,19.2,computed_from_INRB
25,cases_ituri,cases,563,table_ituri
25,cases_nordkivu,cases,32,table_nk
25,cases_sudkivu,cases,3,table_sk
25,cumulative_confirmed_cases,reference,598,INRB_reference
25,cumulative_deaths,reference,115,INRB_reference
25,deaths_ituri,deaths,92,table_ituri
25,deaths_nordkivu,deaths,22,table_nk
25,deaths_sudkivu,deaths,1,table_sk
25,hz_affected_national,geography,25,table_total_row
25,new_confirmed_cases,cases,48,narr_nouveaux
25,recovered,cases,115,box_value_row
25,suspected_cases_investigation,reference,138,INRB_reference
26,alerts_reported,surveillance,78,tbl_alertes
26,alerts_validated,surveillance,3,tbl_valid
26,case_fatality_ratio,deaths,20,computed_from_INRB
26,cases_ituri,cases,600,table_ituri
26,cases_nordkivu,cases,32,table_nk
26,cases_sudkivu,cases,3,table_sk
26,cumulative_confirmed_cases,reference,635,INRB_reference
26,cumulative_deaths,reference,127,INRB_reference
26,deaths_ituri,deaths,104,table_ituri
26,deaths_nordkivu,deaths,22,table_nk
26,deaths_sudkivu,deaths,1,table_sk
26,hz_affected_national,geography,26,table_total_row
26,new_confirmed_cases,cases,37,narr_nouveaux
26,recovered,cases,10,box_value_row
26,suspected_cases_investigation,reference,119,INRB_reference
27,alerts_reported,surveillance,143,tbl_alertes
27,alerts_validated,surveillance,3,tbl_valid
27,case_fatality_ratio,deaths,20.1,computed_from_INRB
27,cases_ituri,cases,629,table_ituri
27,cases_nordkivu,cases,44,table_nk
27,cases_sudkivu,cases,3,table_sk
27,cumulative_confirmed_cases,reference,676,INRB_reference
27,cumulative_deaths,reference,136,INRB_reference
27,deaths_ituri,deaths,109,table_ituri
27,deaths_nordkivu,deaths,26,table_nk
27,deaths_sudkivu,deaths,1,table_sk
27,hz_affected_national,geography,29,table_total_row
27,new_confirmed_cases,cases,41,narr_nouveaux
27,recovered,cases,136,box_value_row
27,suspected_cases_investigation,reference,119,INRB_reference
28,alerts_reported,surveillance,143,tbl_alertes
28,alerts_validated,surveillance,3,tbl_valid
28,case_fatality_ratio,deaths,20.2,computed_from_INRB
28,cases_ituri,cases,646,table_ituri
28,cases_nordkivu,cases,40,table_nk
28,cases_sudkivu,cases,3,table_sk
28,cumulative_confirmed_cases,reference,689,INRB_reference
28,cumulative_deaths,reference,139,INRB_reference
28,deaths_ituri,deaths,114,table_ituri
28,deaths_nordkivu,deaths,24,table_nk
28,deaths_sudkivu,deaths,1,table_sk
28,hz_affected_national,geography,29,table_total_row
28,recovered,cases,139,box_value_row
28,suspected_cases_investigation,reference,168,INRB_reference
30,alerts_reported,surveillance,152,tbl_alertes
30,alerts_validated,surveillance,2,tbl_valid
30,case_fatality_ratio,deaths,23.1,computed_from_INRB
30,cases_ituri,cases,717,table_ituri
30,cases_nordkivu,cases,62,table_nk
30,cases_sudkivu,cases,3,table_sk
30,cumulative_confirmed_cases,reference,782,INRB_reference
30,cumulative_deaths,reference,181,INRB_reference
30,deaths_ituri,deaths,146,table_ituri
30,deaths_nordkivu,deaths,34,table_nk
30,deaths_sudkivu,deaths,1,table_sk
30,hz_affected_national,geography,31,table_total_row
30,recovered,cases,181,box_value_row
30,samples_positive,laboratory,16,narr_pos
30,suspected_cases_investigation,reference,136,INRB_reference
31,alerts_reported,surveillance,241,tbl_alertes
31,alerts_validated,surveillance,7,tbl_valid
31,case_fatality_ratio,deaths,23.8,computed_from_INRB
31,cases_ituri,cases,738,table_ituri
31,cases_nordkivu,cases,67,table_nk
31,cases_sudkivu,cases,3,table_sk
31,cumulative_confirmed_cases,reference,808,INRB_reference
31,cumulative_deaths,reference,192,INRB_reference
31,deaths_ituri,deaths,153,table_ituri
31,deaths_nordkivu,deaths,38,table_nk
31,deaths_sudkivu,deaths,1,table_sk
31,hz_affected_national,geography,31,table_total_row
31,recovered,cases,192,box_value_row
31,samples_positive,laboratory,5,narr_pos
31,suspected_cases_investigation,reference,165,INRB_reference
32,alerts_reported,surveillance,276,tbl_alertes
32,alerts_validated,surveillance,7,tbl_valid
32,case_fatality_ratio,deaths,23.4,computed_from_INRB
32,cases_ituri,cases,767,table_ituri
32,cases_nordkivu,cases,67,table_nk
32,cases_sudkivu,cases,3,table_sk
32,cumulative_confirmed_cases,reference,837,INRB_reference
32,cumulative_deaths,reference,196,INRB_reference
32,deaths_ituri,deaths,157,table_ituri
32,deaths_nordkivu,deaths,38,table_nk
32,deaths_sudkivu,deaths,1,table_sk
32,hz_affected_national,geography,31,table_total_row
32,recovered,cases,196,box_value_row
32,suspected_cases_investigation,reference,235,INRB_reference
33,alerts_reported,surveillance,391,tbl_alertes
33,alerts_validated,surveillance,4,tbl_valid
33,case_fatality_ratio,deaths,23.1,computed_from_INRB
33,cases_ituri,cases,799,table_ituri
33,cases_sudkivu,cases,3,table_sk
33,cumulative_confirmed_cases,reference,875,INRB_reference
33,cumulative_deaths,reference,202,INRB_reference
33,deaths_ituri,deaths,158,table_ituri
33,deaths_sudkivu,deaths,1,table_sk
33,hz_affected_national,geography,33,table_total_row
33,recovered,cases,202,box_value_row
33,suspected_cases_investigation,reference,192,INRB_reference
34,alerts_reported,surveillance,266,tbl_alertes
34,alerts_validated,surveillance,4,tbl_valid
34,case_fatality_ratio,deaths,25.9,computed_from_INRB
34,cases_ituri,cases,817,table_ituri
34,cases_nordkivu,cases,76,table_nk
34,cases_sudkivu,cases,3,table_sk
34,cumulative_confirmed_cases,reference,896,INRB_reference
34,cumulative_deaths,reference,232,INRB_reference
34,deaths_ituri,deaths,186,table_ituri
34,deaths_nordkivu,deaths,45,table_nk
34,deaths_sudkivu,deaths,1,table_sk
34,hz_affected_national,geography,33,table_total_row
34,recovered,cases,232,box_value_row
34,suspected_cases_investigation,reference,151,INRB_reference
35,alerts_reported,surveillance,436,tbl_alertes
35,alerts_validated,surveillance,3,tbl_valid
35,case_fatality_ratio,deaths,26.3,table_total_row
35,cases_ituri,cases,853,table_ituri
35,cases_nordkivu,cases,77,table_nk
35,cases_sudkivu,cases,3,table_sk
35,cumulative_confirmed_cases,cases,933,table_total_row
35,cumulative_deaths,deaths,245,table_total_row
35,deaths_ituri,deaths,199,table_ituri
35,deaths_nordkivu,deaths,45,table_nk
35,deaths_sudkivu,deaths,1,table_sk
35,hz_affected_national,geography,34,table_total_row
35,recovered,cases,245,box_value_row
36,alerts_reported,surveillance,233,tbl_alertes
36,alerts_validated,surveillance,1,tbl_valid
36,case_fatality_ratio,deaths,25.8,table_total_row
36,cases_ituri,cases,874,table_ituri
36,cases_nordkivu,cases,79,table_nk
36,cases_sudkivu,cases,3,table_sk
36,cumulative_confirmed_cases,cases,956,table_total_row
36,cumulative_deaths,deaths,247,table_total_row
36,deaths_ituri,deaths,201,table_ituri
36,deaths_nordkivu,deaths,45,table_nk
36,deaths_sudkivu,deaths,1,table_sk
36,hz_affected_national,geography,34,table_total_row
36,new_confirmed_cases,cases,23,narr_nouveaux
36,recovered,cases,247,box_value_row
