sitrep_no,severity,issue_code,indicator_code,message,detected_at
18,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.573632
18,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.575194
18,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.576897
18,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.578585
18,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.58028
19,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.582557
19,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.585861
19,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.588142
19,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.589827
19,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.591846
19,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.59421
20,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.596754
20,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.59931
20,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.602249
20,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.604707
20,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.607187
20,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.609476
21,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.61191
21,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.614383
21,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.617109
21,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.620021
21,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.621951
21,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.6238
22,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.625605
22,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.627363
22,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.629114
22,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.631159
22,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.63394
22,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.63595
23,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.639438
23,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.641638
23,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.643755
23,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.646087
23,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.647949
23,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.649502
24,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.651502
24,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.65327
24,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.655024
24,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.656729
24,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.65844
24,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.660126
25,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.661573
25,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.663476
25,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.665149
25,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.668223
25,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.671141
25,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.673594
26,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.676155
26,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.680092
26,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.682608
26,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.685743
26,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.68798
26,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.689952
27,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.691871
27,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.693684
27,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.695589
27,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.697632
27,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.699137
27,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.701228
28,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.705096
28,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.708927
28,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.712945
28,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.714692
28,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.717213
28,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.720177
30,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.724117
30,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.727813
30,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.731493
30,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.734168
30,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.73673
30,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.739153
31,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.741394
31,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.743406
31,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.745494
31,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.748185
31,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.751229
31,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.754954
32,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.758613
32,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.760543
32,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.764224
32,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.767714
32,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.771069
32,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.774941
33,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.778629
33,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.781416
33,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.785622
33,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.789846
33,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.793562
33,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.797416
34,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.798982
34,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.802597
34,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.806244
34,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.809133
34,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.811982
34,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.814704
35,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.818264
35,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.821127
35,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.824998
35,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.828904
35,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.831278
35,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.834556
36,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.838048
36,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.841348
36,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.844233
36,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.846748
36,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.848288
36,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.849861
37,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.851365
37,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.853018
37,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.854761
37,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.856529
37,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.858313
37,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.860067
38,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.86173
38,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.86348
38,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.865198
38,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.866854
38,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.868559
38,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.870291
39,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.871963
39,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.884167
39,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.886965
39,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.888803
39,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.89059
39,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.892404
40,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.894409
40,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.895925
40,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.898106
40,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.900194
40,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.901927
40,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.903458
