iso3,country,rcc,adm_level,status,api_url,download_url,raw_file,clean_file,n_features,n_columns,geometry_type,crs,error,selected_for_preis
LBR,Liberia,Western Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/LBR/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/LBR/ADM2/geoBoundaries-LBR-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/LBR_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/LBR_ADM2_geoboundaries_clean.geojson,136,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
LBY,Libya,Northern Africa RCC,ADM1,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/LBY/ADM1,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/LBY/ADM1/geoBoundaries-LBY-ADM1.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM1/LBY_ADM1_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM1/LBY_ADM1_geoboundaries_clean.geojson,22,12,POLYGON,WGS 84,NA,TRUE
LBY,Libya,Northern Africa RCC,ADM2,METADATA_FAILED,https://www.geoboundaries.org/api/current/gbOpen/LBY/ADM2,NA,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/LBY_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/LBY_ADM2_geoboundaries_clean.geojson,NA,NA,NA,NA,Metadata HTTP status 404,FALSE
MDG,Madagascar,Southern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/MDG/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/MDG/ADM2/geoBoundaries-MDG-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/MDG_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/MDG_ADM2_geoboundaries_clean.geojson,119,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
MWI,Malawi,Southern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/MWI/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/MWI/ADM2/geoBoundaries-MWI-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/MWI_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/MWI_ADM2_geoboundaries_clean.geojson,28,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
MLI,Mali,Western Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/MLI/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/MLI/ADM2/geoBoundaries-MLI-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/MLI_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/MLI_ADM2_geoboundaries_clean.geojson,50,12,POLYGON,WGS 84,NA,TRUE
MRT,Mauritania,Northern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/MRT/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/MRT/ADM2/geoBoundaries-MRT-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/MRT_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/MRT_ADM2_geoboundaries_clean.geojson,57,12,POLYGON,WGS 84,NA,TRUE
MAR,Morocco,Northern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/MAR/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/MAR/ADM2/geoBoundaries-MAR-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/MAR_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/MAR_ADM2_geoboundaries_clean.geojson,75,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
MOZ,Mozambique,Southern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/MOZ/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/MOZ/ADM2/geoBoundaries-MOZ-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/MOZ_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/MOZ_ADM2_geoboundaries_clean.geojson,159,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
NAM,Namibia,Southern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/NAM/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/NAM/ADM2/geoBoundaries-NAM-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/NAM_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/NAM_ADM2_geoboundaries_clean.geojson,109,12,POLYGON,WGS 84,NA,TRUE
NER,Niger,Western Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/NER/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/NER/ADM2/geoBoundaries-NER-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/NER_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/NER_ADM2_geoboundaries_clean.geojson,67,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
NGA,Nigeria,Western Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/NGA/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/NGA/ADM2/geoBoundaries-NGA-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/NGA_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/NGA_ADM2_geoboundaries_clean.geojson,774,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
RWA,Rwanda,Eastern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/RWA/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/RWA/ADM2/geoBoundaries-RWA-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/RWA_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/RWA_ADM2_geoboundaries_clean.geojson,30,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
SEN,Senegal,Western Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/SEN/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/SEN/ADM2/geoBoundaries-SEN-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/SEN_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/SEN_ADM2_geoboundaries_clean.geojson,45,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
SLE,Sierra Leone,Western Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/SLE/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/SLE/ADM2/geoBoundaries-SLE-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/SLE_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/SLE_ADM2_geoboundaries_clean.geojson,14,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
SOM,Somalia,Eastern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/SOM/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/SOM/ADM2/geoBoundaries-SOM-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/SOM_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/SOM_ADM2_geoboundaries_clean.geojson,118,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
ZAF,South Africa,Southern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/ZAF/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ZAF/ADM2/geoBoundaries-ZAF-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/ZAF_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/ZAF_ADM2_geoboundaries_clean.geojson,52,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
SSD,South Sudan,Eastern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/SSD/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/SSD/ADM2/geoBoundaries-SSD-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/SSD_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/SSD_ADM2_geoboundaries_clean.geojson,78,12,POLYGON,WGS 84,NA,TRUE
SDN,Sudan,Northern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/SDN/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/SDN/ADM2/geoBoundaries-SDN-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/SDN_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/SDN_ADM2_geoboundaries_clean.geojson,189,12,POLYGON,WGS 84,NA,TRUE
STP,São Tomé and Príncipe,Central Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/STP/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/STP/ADM2/geoBoundaries-STP-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/STP_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/STP_ADM2_geoboundaries_clean.geojson,7,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
TZA,Tanzania,Eastern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/TZA/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/TZA/ADM2/geoBoundaries-TZA-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/TZA_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/TZA_ADM2_geoboundaries_clean.geojson,170,12,MULTIPOLYGON; POLYGON,WGS 84,NA,TRUE
TGO,Togo,Western Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/TGO/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/TGO/ADM2/geoBoundaries-TGO-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/TGO_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/TGO_ADM2_geoboundaries_clean.geojson,37,12,POLYGON,WGS 84,NA,TRUE
TUN,Tunisia,Northern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/TUN/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/TUN/ADM2/geoBoundaries-TUN-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/TUN_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/TUN_ADM2_geoboundaries_clean.geojson,264,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
UGA,Uganda,Eastern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/UGA/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/UGA/ADM2/geoBoundaries-UGA-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/UGA_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/UGA_ADM2_geoboundaries_clean.geojson,151,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
ESH,Western Sahara,Northern Africa RCC,ADM1,METADATA_FAILED,https://www.geoboundaries.org/api/current/gbOpen/ESH/ADM1,NA,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM1/ESH_ADM1_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM1/ESH_ADM1_geoboundaries_clean.geojson,NA,NA,NA,NA,Metadata HTTP status 404,FALSE
ESH,Western Sahara,Northern Africa RCC,ADM2,METADATA_FAILED,https://www.geoboundaries.org/api/current/gbOpen/ESH/ADM2,NA,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/ESH_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/ESH_ADM2_geoboundaries_clean.geojson,NA,NA,NA,NA,Metadata HTTP status 404,FALSE
ZMB,Zambia,Southern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/ZMB/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ZMB/ADM2/geoBoundaries-ZMB-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/ZMB_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/ZMB_ADM2_geoboundaries_clean.geojson,116,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
ZWE,Zimbabwe,Southern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/ZWE/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ZWE/ADM2/geoBoundaries-ZWE-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/ZWE_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/ZWE_ADM2_geoboundaries_clean.geojson,91,12,POLYGON,WGS 84,NA,TRUE
